Group_Name,Group_QID,Member_Name_EN,Member_Name_KO,Member_QID,Kind,Source
BBGIRLS,Q492721,Han Ye-jin,예진,Q12607673,GROUP,Wikidata_P463_P527
BBGIRLS,Q492721,Hyeran,혜란,Q108261235,GROUP,Wikidata_P463_P527
BBGIRLS,Q492721,Lee Tae-yee,이화시,Q108261336,GROUP,Wikidata_P463_P527
BBGIRLS,Q492721,Minyoung,민영,Q108261380,GROUP,Wikidata_P463_P527
BBGIRLS,Q492721,Nam Youjoung,남유정,Q126684253,GROUP,Wikidata_P463_P527
BBGIRLS,Q492721,Seo-a,서아,Q108261214,GROUP,Wikidata_P463_P527
BBGIRLS,Q492721,Yoojin,유진,Q108261225,GROUP,Wikidata_P463_P527
BBGIRLS,Q492721,Yuna,유나,Q108261504,GROUP,Wikidata_P463_P527
BESTie,Q13813305,Kang Hye-yeon,혜연,Q16766832,GROUP,Wikidata_P463_P527
BESTie,Q13813305,Na Hae-ryung,나해령,Q16767981,GROUP,Wikidata_P463_P527
BESTie,Q13813305,Song Da-hye,송다혜,Q20687781,GROUP,Wikidata_P463_P527
BESTie,Q13813305,U Ji,유지,Q24855952,GROUP,Wikidata_P463_P527
BEWAVE,Q131768107,AIN,아인,Q131936839,GROUP,Wikidata_P463_P527
BEWAVE,Q131768107,Yunseul,윤슬,Q132307636,GROUP,Wikidata_P463_P527
BIBI,Q65060693,Bibi,비비,Q65060693,SOLO,Wikidata_Entity
BIG NAUGHTY,Q85980101,Big Naughty,빅 나티,Q85980101,SOLO,Wikidata_Entity
BIGBANG,Q282104,Daesung,대성,Q194798,GROUP,Wikidata_P463_P527
BIGBANG,Q282104,G-Dragon,지드래곤,Q495577,GROUP,Wikidata_P463_P527
BIGBANG,Q282104,Seungri,승리,Q428490,GROUP,Wikidata_P463_P527
BIGBANG,Q282104,T.O.P,T.O.P,Q495571,GROUP,Wikidata_P463_P527
BIGBANG,Q282104,Taeyang,태양,Q482991,GROUP,Wikidata_P463_P527
BIGFLO,Q18328761,하이탑,하이탑,Q55735655,GROUP,Wikidata_P463_P527
BIGFLO,Q18328761,Lee Eui-jin,의진,Q51884158,GROUP,Wikidata_P463_P527
BLACKPINK,Q25056945,Jennie,제니 김,Q26262599,GROUP,Wikidata_P463_P527
BLACKPINK,Q25056945,Jisoo,지수,Q27655361,GROUP,Wikidata_P463_P527
BLACKPINK,Q25056945,Lisa,리사,Q26707663,GROUP,Wikidata_P463_P527
BLACKPINK,Q25056945,Rosé,로제,Q27655344,GROUP,Wikidata_P463_P527
BLACKSWAN,Q97477974,Alexandra Reid,Alexandra Reid,Q26845374,GROUP,Wikidata_P463_P527
BLACKSWAN,Q97477974,Fatou Samba,,Q100587672,GROUP,Wikidata_P463_P527
BLACKSWAN,Q97477974,Leia,,Q100397038,GROUP,Wikidata_P463_P527
BLOO,Q85980027,Bloo,블루,Q85980027,SOLO,Wikidata_Entity
BOYFRIEND,Q307457,Hyunseong,현성,Q16767987,GROUP,Wikidata_P463_P527
BOYFRIEND,Q307457,Jeongmin,정민,Q16767845,GROUP,Wikidata_P463_P527
BOYFRIEND,Q307457,Jo Kwang-min,광민,Q16766758,GROUP,Wikidata_P463_P527
BOYFRIEND,Q307457,Jo Young-min,영민,Q11346187,GROUP,Wikidata_P463_P527
BOYFRIEND,Q307457,Kim Dong-hyun,동현,Q16080205,GROUP,Wikidata_P463_P527
BOYFRIEND,Q307457,Lee Jeongmin,,Q137670193,GROUP,Wikidata_P463_P527
BOYFRIEND,Q307457,Minwoo,노민우,Q16766824,GROUP,Wikidata_P463_P527
BOYNEXTDOOR,Q118178306,Leehan,이한,Q127427967,GROUP,Wikidata_P463_P527
BOYNEXTDOOR,Q118178306,Myung Jaehyun,명재현,Q123329392,GROUP,Wikidata_P463_P527
BOYNEXTDOOR,Q118178306,Riwoo,리우,Q126683846,GROUP,Wikidata_P463_P527
BOYNEXTDOOR,Q118178306,Sungho,성호,Q123329393,GROUP,Wikidata_P463_P527
BOYNEXTDOOR,Q118178306,Taesan,태산,Q125473767,GROUP,Wikidata_P463_P527
BOYNEXTDOOR,Q118178306,Woonhak,운학,Q123329024,GROUP,Wikidata_P463_P527
BTOB,Q491067,Jung Il-hoon,정일훈,Q13553537,GROUP,Wikidata_P463_P527
BTOB,Q491067,Lee Chang-sub,이창섭,Q16183546,GROUP,Wikidata_P463_P527
BTOB,Q491067,Lee Min-hyuk,이민혁,Q11266766,GROUP,Wikidata_P463_P527
BTOB,Q491067,Lim Hyun-sik,임현식,Q10884727,GROUP,Wikidata_P463_P527
BTOB,Q491067,Peniel Shin,프니엘,Q16235836,GROUP,Wikidata_P463_P527
BTOB,Q491067,Seo Eun-kwang,서은광,Q16233553,GROUP,Wikidata_P463_P527
BTOB,Q491067,Yook Sung-jae,육성재,Q16171180,GROUP,Wikidata_P463_P527
BTS,Q13580495,J-Hope,제이홉,Q16236223,GROUP,Wikidata_P463_P527
BTS,Q13580495,Jimin,지민,Q20947093,GROUP,Wikidata_P463_P527
BTS,Q13580495,Jungkook,정국,Q22338877,GROUP,Wikidata_P463_P527
BTS,Q13580495,Kim Seok-jin,진,Q24276424,GROUP,Wikidata_P463_P527
BTS,Q13580495,RM,김남준,Q20514446,GROUP,Wikidata_P463_P527
BTS,Q13580495,Suga,슈가,Q21075020,GROUP,Wikidata_P463_P527
BTS,Q13580495,V,뷔,Q18388296,GROUP,Wikidata_P463_P527
BVNDIT,Q62070469,Jungwoo,정우,Q64039138,GROUP,Wikidata_P463_P527
BVNDIT,Q62070469,Seungeun,승은,Q64038640,GROUP,Wikidata_P463_P527
BVNDIT,Q62070469,Simyeong,시명,Q63964483,GROUP,Wikidata_P463_P527
BVNDIT,Q62070469,Songhee,송희,Q64038543,GROUP,Wikidata_P463_P527
BVNDIT,Q62070469,Yiyeon,이연,Q64038706,GROUP,Wikidata_P463_P527
Baby V.O.X,Q490213,정현전,정현전,Q12616153,GROUP,Wikidata_P463_P527
